=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 17463166   19041    0    0    0     0          0         0 17463166   19041    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 315304103  262641    0 1255    0     0          0      2210 55759425  134088    0    1    0     0       0          0
 br-vm:     168       3    0    0    0     0          0         3     1386      15    0    2    0     0       0          0
enp0s31f6.100:     168       3    0    0    0     0          0         3     2132      22    0    0    0     0       0          0
enp0s31f6.110: 245651724   67517    0    0    0     0          0         6 32379836   76510    0    0    0     0       0          0
cilium_wg0: 7037260   11406    0    0    0     0          0         0  9361472   13122    0    5    0     0       0          0
cilium_net:    1254      15    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0     1254      15    0    0    0     0       0          0
cilium_vxlan: 5918560    9368    0    0    0     0          0         0  7974355    8801    0    0    0     0       0          0
lxc_health:   17181     227    0    0    0     0          0         0    21379     274    0    0    0     0       0          0
lxc456bfa359a9d:  634733    6040    0    0    0     0          0         0 17347550    6109    0    0    0     0       0          0
lxce69737785fe3:  283173    1279    0    0    0     0          0         0  4326879    2079    0    0    0     0       0          0
lxc755b58d92bde:  669179    1415    0    0    0     0          0         0   840352    1657    0    0    0     0       0          0
lxc512cc86ab54f: 1074124    1803    0    0    0     0          0         0   258659    1648    0    0    0     0       0          0
lxc3e6fe4fd6f31:  310594    2141    0    0    0     0          0         0  5795649    2303    0    0    0     0       0          0
lxcff7bfe40d39b: 7822820    7940    0    0    0     0          0         0  5897051    8944    0    0    0     0       0          0

=== node 192.168.2.65 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 20295083   17948    0    0    0     0          0         0 20295083   17948    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 553835227  428863    0  806    0     0          0      1379 82359966  178213    0    2    0     0       0          0
 br-vm:     224       4    0    0    0     0          0         4      826       7    0    2    0     0       0          0
enp0s31f6.100:     224       4    0    0    0     0          0         4     1572      14    0    0    0     0       0          0
enp0s31f6.110: 492872054   98056    0    0    0     0          0         3 57034448  103794    0    0    0     0       0          0
cilium_wg0: 7895156   17428    0    0    0     0          0         0 10614060   25458    0   11    0     0       0          0
cilium_net:    1674      21    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0     1674      21    0    0    0     0       0          0
cilium_vxlan: 6258177   16064    0    0    0     0          0         0  8136599   22315    0    0    0     0       0          0
lxc_health:   15130     201    0    0    0     0          0         0    18900     244    0    0    0     0       0          0
lxc8af25c2d160e:  269169    3130    0    0    0     0          0         0  8300540    3049    0    0    0     0       0          0
lxca13443d0e87e:  823333    1038    0    0    0     0          0         0   690413    1258    0    0    0     0       0          0
lxcf921c8d91cb1:  780443    1458    0    0    0     0          0         0   233424    1301    0    0    0     0       0          0
lxc7a37c3a3abe3:  288792    2168    0    0    0     0          0         0  5574139    2292    0    0    0     0       0          0
lxcc3c8442020b7:  242244    1153    0    0    0     0          0         0  4288556    1638    0    0    0     0       0          0
lxcb8dc4143604b: 3170003   16460    0    0    0     0          0         0  1981683    9506    0    0    0     0       0          0
lxc3f59e3f3a165: 5377876    5905    0    0    0     0          0         0  4571626    7155    0    0    0     0       0          0

=== node 192.168.2.66 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 19546833   18668    0    0    0     0          0         0 19546833   18668    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s31f6: 4097260211 2991029    0  810    0     0          0      1381 252927623 1080620    0    1    0     0       0          0
 br-vm:     112       2    0    0    0     0          0         2     1230      13    0    5    0     0       0          0
enp0s31f6.100:     112       2    0    0    0     0          0         2     1976      20    0    0    0     0       0          0
enp0s31f6.110: 3872357558  834187    0    0    0     0          0         3 211089877  970190    0    0    0     0       0          0
cilium_wg0: 15557072   26062    0    0    0     0          0         0 10664704   19532    0    0    0     0       0          0
cilium_net:    5374      71    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0     5374      71    0    0    0     0       0          0
cilium_vxlan: 12968976   21304    0    0    0     0          0         0  8710309   15470    0    0    0     0       0          0
lxc_health:   12926     173    0    0    0     0          0         0    16192     210    0    0    0     0       0          0
lxc9baa1adfa88b:  267769    1111    0    0    0     0          0         0  4274460    1410    0    0    0     0       0          0
lxc9a8545fc3c07:  590144    3283    0    0    0     0          0         0  9065784    3255    0    0    0     0       0          0
lxc6fff1d225829:  776241    1536    0    0    0     0          0         0   234005    1372    0    0    0     0       0          0
lxcad3fbfed3d59:  640360    1009    0    0    0     0          0         0   686776    1196    0    0    0     0       0          0
lxc07ff412c7261:  333284    2803    0    0    0     0          0         0  5499403    2190    0    0    0     0       0          0
lxcfa485abaaf3a: 1355627    5105    0    0    0     0          0         0  1592115    9066    0    0    0     0       0          0
lxcb21da9c3a620: 7530439    9425    0    0    0     0          0         0  6157552   10750    0    0    0     0       0          0

=== node 192.168.2.67 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
    lo: 9115545   11158    0    0    0     0          0         0  9115545   11158    0    0    0     0       0          0
 bond0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
dummy0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 teql0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
 tunl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
  sit0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
ip6tnl0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp4s0:       0       0    0    0    0     0          0         0        0       0    0    0    0     0       0          0
enp0s20f0u2: 18673053   24050    0  700    0     0          0         0  9407026   18575    0    0    0     0       0          0
cilium_wg0:  514228    2302    0    0    0     0          0         0  1343004    2986    0    0    0     0       0          0
cilium_net:     440       4    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_host:     440       4    0    0    0     0          0         0      440       4    0    0    0     0       0          0
cilium_vxlan:  305253    2224    0    0    0     0          0         0  1052837    2511    0    0    0     0       0          0
lxc_health:   14973     197    0    0    0     0          0         0    18729     239    0    0    0     0       0          0
lxcf96e6a36a4d9:     936      12    0    0    0     0          0         0      746       7    0    0    0     0       0          0
lxcbe18d68ed84c:  749992     966    0    0    0     0          0         0   102826    1073    0    0    0     0       0          0
lxcd0bbdef8ff72:   11750     102    0    0    0     0          0         0   139296     105    0    0    0     0       0          0
lxcc79c047f2130:  458167     998    0    0    0     0          0         0   629629    1150    0    0    0     0       0          0
lxc8139de86976d:  852480    1735    0    0    0     0          0         0   252985    1505    0    0    0     0       0          0
lxcc50e6e45f902:  235959     990    0    0    0     0          0         0  4383313    3053    0    0    0     0       0          0
lxc54e5a8d09559:   24280     227    0    0    0     0          0         0    27157     222    0    0    0     0       0          0

