=== node 192.168.2.61 ===
Inter-|   Receive                                                |  Transmit
 face |bytes    packets errs drop fifo frame compressed multicast|bytes    packets errs drop fifo colls carrier compressed
 br-vm:       0       0    0    0    0     0          0         0     5844      50    0    6    0     0       0          0
enp0s31f6.100:       0       0    0    0    0     0          0         0    10894      89    0   22    0     0       0          0
lxc73304f1831ea: 362042455 2329433    0    0    0     0          0         0 4628254898 2138932    0    0    0     0       0          0
cilium_wg0: 449643839984 542572415    0    0    0     0          0         0 983511555288 848816059    8   13    0     0       0          0
br-vm.110:       0       0    0    0    0     0          0         0     4010      35    0    0    0     0       0          0
enp033c3e1.110:       0       0    0    0    0     0          0         0     4896      42    0    0    0     0       0          0
enp0s31f6.110: 39774758283 10775930    0    0    0     0          0         0 4839924776 9980111    0 36656    0     0       0          0
br-vm.110.110:       0       0    0    0    0     0          0         0     3152      28    0    0    0     0       0          0
enp0b8c22a.110:       0       0    0    0    0     0          0         0     4010      35    0    0    0     0       0          0
br-vc5fd6e.110:       0       0    0    0    0     0          0         0     2322      21    0    0    0     0       0          0
enp04a9f84.110:       0       0    0    0    0     0          0         0        0       0    0   42    0     0       0          0
enp0941668.110:       0       0    0    0    0     0          0         0     3152      28    0    0    0     0       0          0
br-v672303.110:       0       0    0    0    0     0          0         0     1520      14    0    0    0     0       0          0
enp0090087.110:       0       0    0    0    0     0          0         0     2322      21    0    0    0     0       0          0
enp0b8058c.110:       0       0    0    0    0     0          0         0        0       0    0   35    0     0       0          0
br-v4cf47d.110:       0       0    0    0    0     0          0         0      746       7    0    0    0     0       0          0
enp0acb4c9.110:       0       0    0    0    0     0          0         0     1520      14    0    0    0     0       0          0
enp0676809.110:       0       0    0    0    0     0          0         0        0       0    0   28    0     0       0          0
enp0160fe7.110:       0       0    0    0    0     0          0         0      746       7    0    0    0     0       0          0
enp050cb42.110:       0       0    0    0    0     0          0         0        0       0    0   21    0     0       0          0
enp06ac1c8.110:       0       0    0    0    0     0          0         0        0       0    0   14    0     0       0          0
enp0e7e967.110:       0       0    0    0    0     0          0         0        0       0    0    7    0     0       0          0
lxc7eeb665dc5ac: 59160462  384947    0    0    0     0          0         0 57945346  381701    0    0    0     0       0          0
